geofips,metro_name,airports,gdp_2017,gdp_2018,gdp_2019,gdp_2021,gdp_2022,pop_2017,pop_2018,pop_2019,pop_2021,pop_2022
35620,New York,"EWR, JFK, LGA, ISP, HPN",1714074302,1766287427,1803714884,1823942483,1870252821,19322607,19276644,19216182,"19,721,192","19,563,798"
31080,Los Angeles,"BUR, LGB, LAX, SNA, HHR",965279922,991254189,1024821682,1042007410,1060496469,13278000,13249879,13214799,"12,970,073","12,870,137"
16980,Chicago,"MDW, ORD",674568186,691185754,697333633,696359946,705658963,9514113,9484158,9458539,"9,356,597","9,279,427"
19100,Dallas,"DAL, DFW",483732021,506219605,525852321,560290164,592452179,7337097,7455756,7573136,"7,774,647","7,947,439"
26420,Houston,"IAH, HOU",470676136,491166782,484359415,500984295,513276462,6900090,6976147,7066141,"7,245,134","7,370,464"
12060,Atlanta,ATL,398208502,413028711,429945844,442449357,455333217,5872432,5945303,6020364,"6,159,696","6,238,676"
47900,Washington,"DCA, IAD",528925008,542396309,551770316,569554283,580495879,6211341,6247841,6280487,"6,258,549","6,265,891"
37980,Philadelphia,"ILG, PHL",425373943,432303107,436749140,437550234,444998545,6078522,6091208,6102434,"6,253,394","6,242,746"
33100,Miami,"FLL, MIA, PBI, FXE",346955899,359852689,365639679,390532653,409478365,6118155,6143837,6166488,"6,108,758","6,139,812"
38060,Phoenix,"AZA, PHX",246068032,257410455,269599619,296340472,308214853,4758748,4849209,4948203,"4,948,431","5,020,870"
14460,Boston,"BOS, BED",433844401,451335935,467519922,492998949,504104614,4841772,4859536,4873019,"4,906,460","4,903,026"
40140,Riverside,"ONT, PSP",171203284,177211054,184662178,193689715,195808085,4565909,4612542,4650631,"4,646,486","4,669,149"
41860,San Francisco,"OAK, SFO, SQL",526582864,560553451,590717591,655887146,654730737,4712421,4726314,4731803,"4,618,350","4,578,135"
19820,Detroit,DTW,256207316,261548084,261186301,264723150,269531726,4321593,4322084,4319629,"4,369,283","4,348,636"
42660,Seattle,"PAE, SEA, BFI",368193333,395709089,417984875,451641468,462254671,3885579,3935179,3979845,"4,016,479","4,032,242"
33460,Minneapolis,MSP,257849094,265734698,269646870,273794178,277602263,3575699,3610061,3640043,"3,696,290","3,691,666"
45300,Tampa,"PIE, TPA",152661007,158044077,163322298,179026658,187733776,3106922,3154649,3194831,"3,230,074","3,291,341"
41740,San Diego,SAN,224767520,230518588,236250458,250063598,257341197,3321237,3333861,3338330,"3,274,432","3,277,176"
19740,Denver,DEN,202210170,211192596,222301876,239402096,249653294,2891776,2931665,2967239,"2,978,016","2,986,190"
12580,Baltimore,BWI,198332437,200409767,201674700,204204808,208025373,2798707,2800743,2800053,"2,843,219","2,834,813"
36740,Orlando,"MCO, SFB",136223280,141200311,146135192,156475297,165757392,2517777,2574838,2608147,"2,698,960","2,763,017"
16740,Charlotte,"CLT, JQF",168119917,171575711,177257582,190503528,194261991,2550373,2592950,2636883,"2,707,454","2,754,657"
41180,St. Louis,"BLV, STL",164415211,166573763,169262441,175042138,178656591,2805758,2803958,2803228,"2,812,587","2,800,245"
41700,San Antonio,SAT,118925670,124531674,128536316,134072963,140363477,2472121,2512379,2550960,"2,605,100","2,655,928"
38900,Portland (OR),PDX,155831974,162729750,166879269,174790074,177817816,2454815,2473350,2492412,"2,518,051","2,508,928"
12420,Austin,AUS,141102903,149306992,158684309,180240561,193632474,2115475,2165497,2227083,"2,358,634","2,423,170"
38300,Pittsburgh,PIT,150697726,154324237,155924635,152964506,153329563,2329004,2322653,2317600,"2,450,605","2,432,532"
40900,Sacramento,SMF,131157393,136933816,141690024,146940779,149614056,2319572,2341940,2363730,"2,408,702","2,417,259"
29820,Las Vegas,LAS,116332382,122721414,128047468,129198324,135989358,2181635,2226115,2266715,"2,295,310","2,322,535"
